customer_id,order_date,revenue,profit,quantity,churn
CUST_0101,2025-01-01,154.20,42.50,3,0
CUST_0102,2025-01-02,280.50,84.15,5,0
CUST_0103,2025-01-03,45.00,11.25,1,1
CUST_0104,2025-01-04,520.00,182.00,8,0
CUST_0105,2025-01-05,95.50,23.88,2,0
CUST_0106,2025-01-06,310.40,93.12,4,0
CUST_0107,2025-01-07,18.99,3.80,1,1
CUST_0108,2025-01-08,410.75,123.23,6,0
CUST_0109,2025-01-09,620.00,217.00,10,0
CUST_0110,2025-01-10,125.00,31.25,2,0
CUST_0101,2025-01-11,215.80,64.74,4,0
CUST_0102,2025-01-12,340.00,102.00,6,0
CUST_0111,2025-01-13,88.40,22.10,2,1
CUST_0112,2025-01-14,495.00,148.50,7,0
CUST_0113,2025-01-15,160.00,48.00,3,0
CUST_0104,2025-01-16,730.00,255.50,11,0
CUST_0114,2025-01-17,42.50,8.50,1,1
CUST_0115,2025-01-18,380.20,114.06,5,0
CUST_0106,2025-01-19,290.00,87.00,4,0
CUST_0116,2025-01-20,650.00,227.50,9,0
